input_name,variation,target_script,label
Adewumi Bakare,أديومي باكار,arab,1
Adewumi Bakare,أدوومي بكر,arab,0
Chinwe Okonkwo,شينوي أوكونكو,arab,1
Chinwe Okonkwo,شينو أكونكو,arab,0
Temitope Adekunle,تيميتوپي أديكونلي,arab,1
Temitope Adekunle,تمتوپ أدكونل,arab,0
Niazi Kamara,نيازي كامارا,arab,1
Niazi Kamara,نيزي كمرة,arab,0
Abdiwali Hassan,عبديوالي حسان,arab,1
Abdiwali Hassan,عبدوالي حسين,arab,0
Zewditu Mengistu,زيوديتو مينغيستو,arab,1
Zewditu Mengistu,زوديتو منغستو,arab,0
Kofi Annan,كوفي عنان,arab,1
Kofi Annan,كافي عينان,arab,0
Adama Traoré,آداما تراوري,arab,1
Adama Traoré,أدما تروري,arab,0
Esi Nkrumah,إيسي نكروما,arab,1
Esi Nkrumah,إسي نكرما,arab,0
Rahul Verma,راهول فيرما,arab,1
Rahul Verma,رهول فرمة,arab,0
Neha Kapoor,نيها كابور,arab,1
Neha Kapoor,نها كبور,arab,0
Vishal Thakur,فيشال ثاكور,arab,1
Smita Desai,سميتا ديساي,arab,1
Smita Desai,سميت ديسي,arab,0
Aarav Choudhury,آراف شودري,arab,1
Aarav Choudhury,أرف شذري,arab,0
Kavya Menon,كافيا مينون,arab,1
Kavya Menon,كفيا منون,arab,0
Rakesh Joshi,راكيش جوشي,arab,1
Rakesh Joshi,ركش جشي,arab,0
Anusha Reddy,أنوشا ريدي,arab,1
Anusha Reddy,أنشه ردي,arab,0
Hoang Thi Ngoc,هوانغ ثي نغوك,arab,1
Hoang Thi Ngoc,هونغ ثي نجوك,arab,0
Pham Van Khanh,فام فان خان,arab,1
Pham Van Khanh,فم فن خن,arab,0
Nguyen Anh Tu,نغوين آن تو,arab,1
Nguyen Anh Tu,نغين أن تو,arab,0
Bui Thi Mai,بوي ثي ماي,arab,1
Bui Thi Mai,بي ثي مي,arab,0
Supattra Kongsuk,سوباترا كونغسوك,arab,1
Supattra Kongsuk,سوپترا كونسوك,arab,0
Chalermchai Boonmee,شاليرمشاي بونمي,arab,1
