input_name,variation,target_script,label
Hiroto,هيروتو,arab,1
Samiha Yusuf Omar Al-Saadi,سميحة يوسف عمر السعدي,arab,1
王强,وينغ كيان,arab,0
Layla,لالا,arab,0
Afolabi Okeke,أفولابي أوكيكي,arab,1
Zahra Nour Sami Al-Tikriti,زهراء نور سامي التكريتي,arab,1
Anjali Patel,أنجيل باتل,arab,0
Sergei Ivanovich Morozov,سيرج إفان مورزو,arab,0
Youssef Amr Salem,ياسر عمر سليم,arab,0
Mohammad Ali Hassan,مهمود عالي حسين,arab,0
张丽梅,جانغ لي مي,arab,1
Rami Khalil,رامي خليل,arab,1
Hassan Omar Farooq,حسين أومر فوراق,arab,0
Meena Kumari Sharma,مينا كوماري شارما,arab,1
Nour Ziad Tariq Al-Ubaidi,نور زيد طرق عبيدي,arab,0
Sofia Rossi,صوفيا روسي,arab,1
Husam Muhammad Amin Yassin,حسام محمد أمين الياسي,arab,1
Vikram Singh Yadav,فيكرام سينغ ياداف,arab,1
Lucas Müller,ليكس مولار,arab,0
Rana Khaled Mostafa,رينا خليد مصطفا,arab,0
Zaid Omar,زيد أومر,arab,0
Izzat Ibrahim Duri,عزت إبراهيم الدوري,arab,1
Amr Khaled Zaid Al-Hamdani,عمر خليد زيد همداني,arab,0
Fatima Noor Al-Zahra,فاطمة نور الزهراء,arab,1
Layla Nour Mahmoud,لالا نور مهمد,arab,0
Hanaa Qasim Ali Al-Mashhadani,هن قسم عالي مشداني,arab,0
Sanaa Hadi,سناء هادي,arab,1
Dmitry Ivan Volkov,دميتري إيفان فولكوف,arab,1
Omar Farooq,أومر فوراق,arab,0
Amina Zainab Ali,أمينة زينب علي,arab,1
Ahmad Omar Khan,أخمد عمر كاهن,arab,0
Natalia Anna Sokolova,ناتاليا آنا سوكولوفا,arab,1
Priya Sharma,باري شورما,arab,0
Anna Sokolov,أنن سوكلف,arab,0
Viktor Alexei Smirnov,فيكتر ألكس سميرن,arab,0
Khalil Ibrahim Faisal Al-Douri,خليل إبراهيم فيصل الدوري,arab,1
Hadi Saleh,هادي صالح,arab,1
Sami Hadi Mahdi Al-Tamimi,سام هادي مهد تميمي,arab,0
Sophie Dubois,سافي ديبوس,arab,0
Arjun Singh,أرجون سينغ,arab,1
Mikhail Yuri Petrov,ميخائيل يوري بيتروف,arab,1
Layla Mahmoud,ليلى محمود,arab,1
Elena Ivanov,إلينا إيفانوف,arab,1
Rami Zuhair Saleh Al-Hadithi,رام زهر صليح حديثي,arab,0
Hiroshi Tanaka Yamada,هيروشي تاناكا يامادا,arab,1
Amal Nour Eldin Al-Samarrai,أمال نور دين سمراي,arab,0
Nour,نور,arab,1
Jamal Mustafa Abdallah Sultan Tikriti,جميل مصطفى عبدلله سلطن تكرتي,arab,0
Sergei,سيرجي,arab,1
Sofia Anna Rossi,سافيو أنن روس,arab,0
Igor Alexei Volkov,إيغور أليكسي فولكوف,arab,1
Zainab Fatima Mousa Al-Hashimi,زينب فاطمة موسى الهاشمي,arab,1
Youssef Sami,يوسف سامي,arab,1
Andrei Mikhailovich Ivanov,أندر ميخال إيفانف,arab,0
Kamal Mustafa Abdallah,كمال مصطفى عبدالله,arab,1
Hassan Bilal Qureshi,حسين بيلال قورشي,arab,0
Abeer Salem Musa Al-Kubaisi,عبير سليم موس كبيس,arab,0
Anna Maria Ivanova,آنا ماريا إيفانوفا,arab,1
Aziz Salih Numan,عزيز صالح النعمان,arab,1
Rashid Taan Kathim,راشد طان كاظم,arab,0
Sanaa Mahmoud Hadi Al-Bayati,سناء محمود هادي البياتي,arab,1
Elena Petrova,الانا بترو,arab,0
Samira Shahbandar,سميرة الشاهبندر,arab,1
Sophie,صوفي,arab,1
Omar Hadi Saleh Al-Majid,عمر هاد صليح مجيد,arab,0
Fatima Aisha Omar Al-Najjar,فاطمة عائشة عمر النجار,arab,1
Мария Смирнова,مري سميرن,arab,0
Ayad Futayyih Khalifa Rawi,عياد فتيح خليفة راوي,arab,1
Nadia Samir Khalil,نادي سمي خليل,arab,0
Priya Anjali Sharma,بريا أنجالي شارما,arab,1
Arjun Rajesh Kapoor,أرجن رجش كبور,arab,0
Tariq Ahmad Hamad Al-Jumaili,طارق أحمد حمد الجميلي,arab,1
Yasir Mahmoud Khalil Al-Dulaimi,يسر مهمد خليل دليمي,arab,0
Laila Nour Sami Al-Rawi,ليلى نور سامي الراوي,arab,1
Ahmed Sami Nasser,أخمد سمير ناسر,arab,0
Hamed Salem Jaber Al-Khalidi,حامد سالم جابر الخالدي,arab,1
Vikram Singh Yadav,فيكرم سين يادف,arab,0
Huda Salem Jaber Al-Ani,هدى سالم جابر العاني,arab,1
Roodi Slewa,رود سلوه,arab,0
Aisha Hassan,عائشة حسن,arab,1
Muna Ibrahim Youssef Al-Jubouri,منى إبراهيم يوسف الجبوري,arab,1
Ahmad Khan,أحمد خان,arab,1
Sara Nour Ibrahim,سارة نور إبراهيم,arab,1
Ali Reza Mousavi,علي رضا موسوي,arab,1
Emma Louise Watson,إيما لويز واتسون,arab,1
Olga Maria Petrova,أولغا ماريا بيتروفا,arab,1
محمد علي,محمد علي,arab,1
Anjali Patel,أنجالي باتيل,arab,1
Sophie Dubois,صوفي دوبوا,arab,1
Dmitry Volkov,دميتري فولكوف,arab,1
Ahmad Khan,أخمد كاهن,arab,0
Omar Farooq,عمر فاروق,arab,1
Fatima Noor Al-Zahra,فطيم نور زهرا,arab,0
Dmitry Ivan Volkov,ديمتر إفين فولك,arab,0
Анна Иванова,آنا إيفانوفا,arab,1
Ivan Kuznetsov,إيفان كوزنيتسوف,arab,1
Amira Laila Youssef,أميرا لالا ياسر,arab,0
Hiroshi Tanaka Yamada,هيرو تانك يامدا,arab,0
Amina Zainab Ali,أمن زين عالي,arab,0
Viktor Alexei Smirnov,فيكتور أليكسي سميرنوف,arab,1
Ali Reza Mousavi,عالي ريزا موصافي,arab,0
Emma Louise Watson,إمي لويس واتس,arab,0
Hassan Bilal Qureshi,حسن بلال قريشي,arab,1
Olga Maria Petrova,أولج مري بترو,arab,0
محمد علي,مهمود عالي,arab,0
Izzat Ibrahim Duri,عزيز إبراهم دوري,arab,0
Aziz Salih Numan,عزاز صليح نومن,arab,0
Jamal Mustafa Abdallah Sultan Tikriti,جمال مصطفى عبدالله سلطان التكريتي,arab,1
Samira Shahbandar,سميره شابندر,arab,0
Tariq Ahmad Hamad Al-Jumaili,طرق أخمد حميد جمالي,arab,0
Khalil Ibrahim Faisal Al-Douri,خليل إبراهم فصيل دوري,arab,0
Laila Nour Sami Al-Rawi,لالا نور سمير راووي,arab,0
Sami Hadi Mahdi Al-Tamimi,سامي هادي مهدي التميمي,arab,1
Nour Ziad Tariq Al-Ubaidi,نور زياد طارق العبيدي,arab,1
Hamed Salem Jaber Al-Khalidi,حميد سليم جبر خلدي,arab,0
Fatima Aisha Omar Al-Najjar,فطمه عيشه عمر نجار,arab,0
Yasir Mahmoud Khalil Al-Dulaimi,ياسر محمود خليل الدليمي,arab,1
Amal Nour Eldin Al-Samarrai,أمل نور الدين السامرائي,arab,1
Sergei Ivanovich Morozov,سيرجي إيفانوفيتش موروزوف,arab,1
Hanaa Qasim Ali Al-Mashhadani,هناء قاسم علي المشهداني,arab,1
Natalia Anna Sokolova,ناتلي أنن سوكلوف,arab,0
Rami Zuhair Saleh Al-Hadithi,رامي زهير صالح الحديثي,arab,1
Muna Ibrahim Youssef Al-Jubouri,من إبراهم ياسر جبوري,arab,0
Kamal Mustafa Abdallah,كميل مصطف عبدلله,arab,0
Ayad Futayyih Khalifa Rawi,عيد فتح خليفه رواي,arab,0
Roodi Slewa,رودي سليوة,arab,1
Rashid Taan Kathim,رشيد طعان كاظم,arab,1
Sanaa Mahmoud Hadi Al-Bayati,سنا مهمد هادي بياتي,arab,0
Vikram Singh Yadav,فيكرام سينغ ياداف,arab,1
Huda Salem Jaber Al-Ani,هدا سليم جبر عني,arab,0
Andrei Mikhailovich Ivanov,أندري ميخائيلوفيتش إيفانوف,arab,1
Zahra Nour Sami Al-Tikriti,زهر نور سمير تكرتي,arab,0
Arjun Rajesh Kapoor,أرجون راجيش كابور,arab,1
Omar Hadi Saleh Al-Majid,عمر هادي صالح الماجد,arab,1
Meena Kumari Sharma,مين كمري شورما,arab,0
Igor Alexei Volkov,إيغر ألكس فولكف,arab,0
Amr Khaled Zaid Al-Hamdani,عمرو خالد زيد الهمداني,arab,1
Ahmad,أخمد,arab,0
Sophie,سافي,arab,0
Мария,مريا,arab,0
Vikram,فيكرم,arab,0
Nour,نار,arab,0
Hiroshi,هيروشي,arab,1
Amina,أمينة,arab,1
Youssef Sami,ياسر سمي,arab,0
Sanaa Hadi,سنا هدي,arab,0
Arjun Singh,أرجن سين,arab,0
Zaid Omar,زيد عمر,arab,1
Hadi Saleh,هاد صليح,arab,0
Anna Sokolov,آنا سوكولوف,arab,1
Rami Khalil,رام خلي,arab,0
Priya Sharma,بريا شارما,arab,1
Aisha Hassan,عشا حسين,arab,0
Sophie Dubois,سافي ديبوس,arab,0
Мария Смирнова,ماريа سميرنوفا,arab,1
Rana Khaled Mostafa,رانا خالد مصطفى,arab,1
Ahmed Sami Nasser,أحمد سامي ناصر,arab,1
Анна Иванова,أنن إيفان,arab,0
Sofia Rossi,سافيو روس,arab,0
Hassan Omar Farooq,حسن عمر فاروق,arab,1
فاطمة الزهراء,فطيم زهرا,arab,0
Aisha Hassan,عائشة حسن,arab,1
Zainab Fatima Mousa Al-Hashimi,زين فطمه موسي هاشمي,arab,0
Husam Muhammad Amin Yassin,حسيم محمود أمين ياسر,arab,0
Aziz Salih Numan,عزاز صليح نومن,arab,0
Anna Maria Ivanova,أنن مري إيفان,arab,0
王强,وانغ تشيانغ,arab,1
陈晓,تشين شياو,arab,1
陈晓,شين شاو,arab,0
张伟,جانغ وي,arab,1
张伟,زينج وا,arab,0
李娜,لي نا,arab,1
李娜,لو نن,arab,0
刘洋,ليو يانغ,arab,1
刘洋,لو ينغ,arab,0
赵敏,جاو مين,arab,1
赵敏,زا مين,arab,0
杨磊,يانغ لي,arab,1
杨磊,ينغ لا,arab,0
孙芳,سون فانغ,arab,1
孙芳,سين فان,arab,0
徐静,شو جينغ,arab,1
徐静,شي جين,arab,0
周杰,جو جيه,arab,1
